1865;The Great Airships;USA;1;0;1;0
1878;Denison, Texas Daylight UFO;USA;0;0;0;0
1897;The Aurora, Texas Crash;USA;1;0;1;0
1930;Alien Picture from Alaska;Alaska;0;1;1;0
1937;Discovery of the Dropa Discs;China;0;0;0;0
1939;Alien Bodies Confirmed (Cordell Hull);USA;0;0;1;0
1941;Missouri Crash & Retrieval;USA;1;1;1;0
1942;The Battle of Los Angeles;USA;1;1;0;0
1944;World War II Foo-Fighters;Europe;0;1;0;0
1945;Lt. Gorman Chases a UFO;USA;0;0;0;0
1947;The Kenneth Arnold Sighting;USA;0;0;0;0
1947;Malta, Alien Entities Seen on Watercraft;Malta;0;0;1;0
1947;Pilot Sees Six UFOs, Morristown, NJ;USA;1;1;0;0
1947;The Roswell, New Mexico Crash;USA;1;1;1;0
1948;The Death of Thomas Mantell;USA;0;0;0;0
1948;The Aztec, New Mexico Crash;USA;1;0;0;0
1948;The Chiles-Whitted Sighting;USA;1;0;0;0
1949;Norwood, Ohio Searchlight Incident;USA;0;1;0;0
1950;Dr. Botta Enters Flying Saucer;S Amer;1;0;1;0
1950;The Trent UFO Photographs;USA;0;1;0;0
1950;The Great Falls, Montana Film;USA;0;1;0;0
1951;Gander, Newfoundland UFO Case;Canada;1;0;0;0
1951;The White Sands, NM Radar Case;USA;1;0;0;0
1951;The Lubbock, Texas Lights;USA;0;1;0;0
1951;The Fort Monmouth UFO Incident;USA;1;0;0;0
1952;San Jose, CA Scientist Reports Disc;USA;1;0;0;0
1952;Nash-Fortenberry UFO Sighting;USA;1;0;0;0
1952;The Tremonton, Utah Color Film;USA;0;1;0;0
1952;Customs Inspector films large UFO;Peru;1;1;0;0
1952;Washington, D. C. Sightings;USA;0;1;0;0
1952;Coast Guard UFO Photograph;USA;0;1;0;0
1952;Australian Seafury Incident;Australia;1;0;0;0
1952;The Florida Scoutmaster Encounter;USA;1;0;0;0
1952;Navy aviators encounter UFO;Gnland;0;0;0;0
1952;The Operation Mainbrace Sightings;Den/Nor;0;0;0;0
1952;The Flatwoods, Virginia Entity;USA;1;0;0;0
1952;Gulf of Mexico UFO Encounter;G/Mexico;0;0;0;0
1953;The Arizona UFO Crash;USA;1;0;1;0
1953;The Ellworth Air Force Base Incident;USA;0;0;0;0
1953;The Tom Drury UFO Footage;N Guinea;0;1;0;0
1953;Pilot Lost in UFO chase (Felix Moncla);USA;0;0;0;0
1954;UFO Landing in France;France;1;1;1;0
1955;UFO encounter at Bexleyheath;U K;0;0;0;0
1955;Kelly-Hopkinsville Alien Encounter;USA;1;0;1;0
1955;U S Senators see flying discs in Russia;Russia;0;0;0;0
1956;Bentwaters AFB UFO Encounter;U K;1;0;0;0
1956;Minot Air Force Base Radar/Visual Case;USA;1;0;0;0
1957;The RB-47 UFO Incident;USA;1;0;0;0
1957;Ubatuba UFO Fragments;Brazil;1;0;0;0
1957;UFOs / nuclear test;Tasmania;0;0;0;0
1957;The Ring-Cloud UFO photos;USA;0;0;0;0
1957;Villas-Boas Encounter;Brazil;1;0;1;1
1957;The Levelland, Texas Landings;USA;0;0;0;0
1957;Madison, Ohio, Kuhn/Dog Case;USA;1;0;0;0
1958;The Trinidade Island Photographs;Brazil;0;1;0;0
1958;Monon Railroad UFO Incident;USA;1;0;0;0
